id,spot,spot_id,event,description,date
1,Rindge Avenue Climate Resilience Trail,RIN-2,Relief from Heat Wave,The DCR McCrehan Pool was kept open 24 hours a day during a 10 day heat wave.,7/10/2028
2,Rindge Avenue Climate Resilience Trail,RIN-3,Flooding,Two feet of flooding came to Clifton Street.,5/1/2030
3,Rindge Avenue Climate Resilience Trail,RIN-5,Homes Elevated,Homes on Clifton Street were raised to protect them from growing flood risk.,5/21/2033
4,Rindge Avenue Climate Resilience Trail,RIN-4,Reliable Electricity,Fresh Pond Apartments and Rindge Tower were connected to a microgrid to provide reliable electricity.,4/12/2033
5,Rindge Avenue Climate Resilience Trail,RIN-1,Renewable Energy,Solar power canopies were installed in the parking lots at Fresh Pond Apartments and Rindge Tower to reduce the urban heat island and charge electric vehicles.,5/8/2023
6,Rindge Avenue Climate Resilience Trail,RIN-6,Subway Flood Risks,The MBTA floodproofed Alewife Station anticipating the growing threat of sea level rise and storm surge flooding.,10/1/2035
7,Vassal Lane Climate Resilience Trail,VAS-2,School Elevated,The reconstructed Tobin School was elevated 3 feet anticipating higher flood water.,8/23/2024
8,Vassal Lane Climate Resilience Trail,VAS-6,Flooding Reaches Vassal,Salt water flooding from a coastal storm first reached Vassal Lane.,6/2/2070
9,Vassal Lane Climate Resilience Trail,VAS-3,Flood Water Storage,A massive underground stormwater storage tank was installed when the Tobin School was reconstructed.,9/10/2024
10,Vassal Lane Climate Resilience Trail,VAS-4,Heat Wave,A 12-day heat wave hung over the city with humidity levels making the heat feel like 102 degrees Fahrenheit.,8/5/2030
11,Vassal Lane Climate Resilience Trail,VAS-1,Trees Provide Relief,Vassal Lane was turned into a cool corridor when trees planted grew to shade the street.,5/7/2020
12,Vassal Lane Climate Resilience Trail,VAS-5,Road Reduction,Car ownership decreased enough to allow the residential streets to be slimmed down to reduce pavement and create more green space.,10/9/2040
