id,subdomain,date,year,mon_day,event,spot,spot_id,desc,link,more_text,note,note1,note2,note3,note4
12,salem,,2010,[mmdd],GREENING STORMWATER,SALEM-SSU2,SSU2,First green roof in City of Salem installed on Marsh Hall for stormwater management and climate mitigation.,,"As the climate changes, rainstorms are becoming more intense and temperatures are continuing to rise. The area around Salem State’s Marsh Hall is vulnerable to flooding due to its location near the marsh as well as its low elevation. Green roofs have multiple benefits that address both climate mitigation and adaptation:
Insulate buildings reducing heating and cooling needs and greenhouse gas emissions
Slow stormwater runoff and filter out pollutants
Reduce the urban heat island effect by cooling the air
Provide habitat for pollinators and other species.
","Using Green Roofs to Reduce Heat Islands
https://www.epa.gov/heatislands/using-green-roofs-reduce-heat-islands
","Using Green Roofs to Reduce Heat Islands
https://www.epa.gov/heatislands/using-green-roofs-reduce-heat-islands
",,,
4,salem,,2012,[mmdd],INITIAL CHARGE,SALEM-4,4,First downtown vehicle charging stations installed in two municipal garages,,"Understanding that transportation was a major source of carbon emissions, accounting for 29% of U.S. greenhouse gases, the city pioneered in addressing a key barrier to early adopters of EVs—their limited range related to the availability of charging stations.","Clean and Just: Electric Vehicle Adoption, 2022
https://itif.org/publications/2022/06/27/electric-vehicle-innovation-to-accelerate-more-equitable-early-adoption/
","Clean and Just: Electric Vehicle Adoption, 2022
https://itif.org/publications/2022/06/27/electric-vehicle-innovation-to-accelerate-more-equitable-early-adoption/
",,,
15,salem,,2015,[mmdd],ENERGY RISING,SALEM-SSU5,SSU5,Geothermal system with 48 wells drilled 500 feet below quad begins transition to heating and cooling without fossil fuels.,,"Massachusetts’ 2008 Global Warming Solutions Act and the subsequent 2021 Act Creating a Next-Generation Roadmap for Massachusetts Climate Policy established aggressive emissions reductions goals for the state. In 2007, Salem State University anticipated these by adopting a goal of carbon neutrality by 2050. The most challenging aspect of meeting this goal is figuring out how to eliminate fossil fuels from heating and cooling. Salem State’s 2021 Clean Energy Feasibility Study for North Campus affirmed the role that geothermal energy must play in supporting this transition. 

Geothermal technology relies on the stable temperature of the ground at depth and uses that energy to heat or cool interior spaces. When the Library was built, Salem State was fortunate to be able to incorporate this technology into the building’s design.","Geothermal Energy is Poised for a Big Breakout (2020)
https://www.vox.com/energy-and-environment/2020/10/21/21515461/renewable-energy-geothermal-egs-ags-supercritical Geothermal Technologies https://www.energy.gov/eere/geothermal/geothermal-technologies-office
","Geothermal Energy is Poised for a Big Breakout (2020)
https://www.vox.com/energy-and-environment/2020/10/21/21515461/renewable-energy-geothermal-egs-ags-supercritical
","Geothermal Technologies
https://www.energy.gov/eere/geothermal/geothermal-technologies-office
",,
10,salem,,2017,[mmdd],[title],SALEM-10,10,"All city-owned streetlights converted to LED, reducing annual carbon footprint by over 1,000 metric tons.",,"The conversion of Salem’s street and traffic lights to LED reduced energy consumption, thereby reducing carbon emissions equivalent to those emitted annually by 239 gasoline powered passenger vehicles. They also provided a significant reduction in annual operating costs for the city. The long life span of LED fixtures also yielded reduced maintenance costs.","Salem Street and Traffic Lights
https://www.salemma.gov/sustainability-energy-and-resiliency-committee-serc/pages/street-and-traffic-lights
","Salem Street and Traffic Lights
https://www.salemma.gov/sustainability-energy-and-resiliency-committee-serc/pages/street-and-traffic-lights
",,,
11,salem,,2018,Jan 4,FLOOD PROTECTION,SALEM-SSU1,SSU1,Forest River floodgate protects campus from winter storm Grayson’s 15.1' high tide and surge.,,"As climate change brings more violent storms, with more intense winds, more precipitation and higher storm surges, low lying coastal areas are at risk from the combined effect of precipitation-induced flooding as well as a storm surge, particularly when combined with high tide. Winter Storm Grayson in January 2018 hit Massachusetts with hurricane-force wind gusts, 17 inches of snow in Boston, and a storm surge and high tide that reached 15.16 feet in Boston, flooding the financial district and the Aquarium T station.    As storms become more intense, communities must increasingly rely on a combination of defenses, including floodgates, to protect vulnerable areas. Salem State University has been fortunate to be protected by the City of Salem’s flood prevention infrastructure. However, as climate changes escalate, such structures need to be maintained, upgraded, and expanded to areas lacking such protections, at great cost.
","January 2018 North American Blizzard
https://en.wikipedia.org/wiki/January_2018_North_American_blizzard
","January 2018 North American Blizzard
https://en.wikipedia.org/wiki/January_2018_North_American_blizzard
",,,
1,salem,,2021,[mmdd],green roof,SALEM-1,1,Hampton Inn installs first green roof in downtown Salem to absorb CO2 and reduce stormwater runoff and urban heat. ,,"A green roof is a vegetative layer grown on a rooftop. Green roofs remove heat from the air and reduce temperatures of the roof surface and surrounding air, moderating the heat island effect particularly during the day. For its garage, Hampton Inn constructed a green roof rather than a 3rd floor of parking. In addition to creating rooms with a view, the green roof cools the hotel, removing heat from the air through the process of evapotranspiration. Green roof temperatures can be 30–40°F lower than those of conventional roofs and act as insulators to reduce building energy use by 0.7% compared to conventional roofs.  Green roofs also filter pollutants from rainfall and their vegetation can remove pollutants and GHGs from the air through dry deposition and carbon sequestration and storage, respectively. Importantly for Salem, the Hampton Inn green roof reduces and delays stormwater runoff in the South River flood zone.","EPA, Using Green Roofs to Reduce Heat Islands
https://www.epa.gov/heatislands/using-green-roofs-reduce-heat-islands","EPA, Using Green Roofs to Reduce Heat Islands
https://www.epa.gov/heatislands/using-green-roofs-reduce-heat-islands",,,
2,salem,,2021,[mmdd],SELF PROPELLED,SALEM-2,2,"The Salvo multiuse path completed to connect downtown to South Salem and Marblehead, providing safe zero-carbon transportation.",,"As a compact city with a well-connected street network and diverse mix of land uses that made most trips within the city possible by bike, Salem drafted a Bicycle Master Plan to improve and expand bicycling infrastructure. The Plan established short- and longer-term visions to enhance biking for people of all ages, abilities, and backgrounds. ","Salem Bicycle Master Plan, 2018
https://www.salem.com/sites/g/files/vyhlif7986/f/uploads/2018-11-02_salem_bike_plan_final_0.pdf","Salem Bicycle Master Plan, 2018
https://www.salem.com/sites/g/files/vyhlif7986/f/uploads/2018-11-02_salem_bike_plan_final_0.pdf",,,
9,salem,,2021,[mmdd],UPLAND RETREAT,SALEM-9,9,"Community garden relocated here, to a higher elevation to avoid sea level rise flooding at original site.",,"Sea level rise along the coast was a continuous threat, creating a profound shift in flooding as tide and storm surge increased in height and reached further inland. (1)","(1) NOAA 2022 Sea Level Rise Technical Report
https://oceanservice.noaa.gov/hazards/sealevelrise/sealevelrise-tech-report.html Salem Waterfront—Mapping Future Flood Risk
https://www.salemsound.org/PDF/Derby%20NPS%20SouthRiver_MC_FRM.pdf
Greenbelt
https://storymaps.arcgis.com/stories/89443ed21bf041e38c37c7f0813e0960","(1) NOAA 2022 Sea Level Rise Technical Report
https://oceanservice.noaa.gov/hazards/sealevelrise/sealevelrise-tech-report.html
","Salem Waterfront—Mapping Future Flood Risk
https://www.salemsound.org/PDF/Derby%20NPS%20SouthRiver_MC_FRM.pdf
","Greenbelt
https://storymaps.arcgis.com/stories/89443ed21bf041e38c37c7f0813e0960
",
17,salem,,2022,Mar,HERE COMES THE SUN,SALEM-SSU7,SSU7,Solar panels installed on Meier Hall bring campus total to six rooftop solar arrays.,,"Harnessing energy from the sun via rooftop photovoltaic cells that convert sunlight into electricity is a critical part of Salem State’s pursuit of carbon neutrality and an important boon to the region’s efforts to transition electricity supplies to 100 percent renewable energy. Salem State University installed its first array on the O’Keefe Complex in 2012 with subsequent rooftop arrays at Atlantic Hall, the streetlights along College Drive, the Berry Library, Gassett Fitness Center, and Marsh Hall. With the 2022 addition of solar panels to the roof of Meier Hall, SSU’s installed solar capacity totals 720 KW.","Photovoltaic Energy Factsheet
https://css.umich.edu/factsheets/photovoltaic-energy-factsheet Solar Information and Programs https://www.mass.gov/solar-information-programs","Photovoltaic Energy Factsheet
https://css.umich.edu/factsheets/photovoltaic-energy-factsheet
","Solar Information and Programs
https://www.mass.gov/solar-information-programs",,
6,salem,,2025,[mmdd],BUILDING WIND,SALEM-6,6,"Former coal-fired power plant transformed into state’s second major offshore wind farm construction site, playing a key role in their installation.",,"Salem’s history as a port entered a new era when it became the second port in Massachusetts designed for the offshore wind industry. Originally famed for its sailing ships powered by wind to pursue global trade, Salem Harbor began to play a role in harnessing wind as a source of clean power through a public-private partnership between the City of Salem and Crowley Maritime. This 42 acre site, long the location of a coal-burning power plant, became the landside base of wind farm construction in the Atlantic Ocean south of Martha’s Vineyard. When complete, the power generated will reduce greenhouse gas emissions by 1.6 million tons per year.","The Salem News, Salem bid selected for offshore wind project, 2021
https://www.salemnews.com/news/salem-bid-selected-for-offshore-wind-project/article_af8880e6-5f68-11ec-acbc-63414cd52d3f.html#:~:text=SALEM%20%E2%80%94%20The%20offshore%20wind%20industry,of%20power%20to%20the%20state.
Salem Alliance for the Environment https://salemsafe.org/2022/02/14/avangrid-renewables-lays-out-future-at-salem-harbor/?fbclid=IwAR3sFwqOMhttck7ngRJUibJF9LAbrphUEfGHE-wQokwOjsstlKO9-HqiL8E Commonwealth Wind https://www.commonwealthwind.com/
","The Salem News, Salem bid selected for offshore wind project, 2021
https://www.salemnews.com/news/salem-bid-selected-for-offshore-wind-project/article_af8880e6-5f68-11ec-acbc-63414cd52d3f.html#:~:text=SALEM%20%E2%80%94%20The%20offshore%20wind%20industry,of%20power%20to%20the%20state.
","Salem Alliance for the Environment
https://salemsafe.org/2022/02/14/avangrid-renewables-lays-out-future-at-salem-harbor/?fbclid=IwAR3sFwqOMhttck7ngRJUibJF9LAbrphUEfGHE-wQokwOjsstlKO9-HqiL8E
","Commonwealth Wind
https://www.commonwealthwind.com/
",
